date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2010-05-18,Tuesday,12,30860.39947601305,12.557598739208116,1,30.86039947601305
2010-05-19,Wednesday,24,35250.0214142976,11.28705434483578,2,35.2500214142976
2010-05-20,Thursday,10,348447.4583081663,16.45854527072583,1,348.4474583081663
2010-05-21,Friday,13,44788.049871851064,3.327519881653715,0,44.788049871851065
2010-05-22,Saturday,4,15024.792627812025,11.649380094685137,0,15.024792627812024
2010-05-23,Sunday,5,8112.197489505852,0.30562411608365936,1,8.112197489505853
2010-05-24,Monday,26,69933.32077616543,26.34684972772296,0,69.93332077616543
2010-05-25,Tuesday,16,17830.384130624363,35.47017583491202,1,17.830384130624363
2010-05-26,Wednesday,10,34427.88879586535,3.3562566715929214,0,34.42788879586535
2010-05-27,Thursday,16,34478.804977080654,18.177688899417976,0,34.47880497708066
2010-05-28,Friday,16,35124.72096387703,19.220144947661442,0,35.12472096387703
2010-05-29,Saturday,2,27857.653957233233,3.0389428324352714,0,27.857653957233232
2010-05-30,Sunday,2,3027.7549438550577,0.23935847955586062,0,3.0277549438550575
2010-05-31,Monday,35,100850.40783811639,17.69293083400686,0,100.85040783811638
2010-06-01,Tuesday,45,32968.967543231396,29.18257765227418,1,32.96896754323139
2010-06-02,Wednesday,16,344224.8808510906,48.46811425743987,0,344.2248808510906
2010-06-03,Thursday,17,135083.84844215348,12.066545440696665,2,135.08384844215348
2010-06-04,Friday,29,441420.47323853814,20.187178285408006,0,441.42047323853814
2010-06-07,Monday,34,46729.34031101039,15.189406224724209,2,46.72934031101039
2010-06-08,Tuesday,19,76327.87021714191,15.891980856277604,1,76.3278702171419
2010-06-09,Wednesday,34,192685.35916215437,31.902742440788824,0,192.68535916215438
2010-06-10,Thursday,10,28478.17372947014,6.884437911888853,2,28.478173729470143
2010-06-11,Friday,11,43043.87977025886,10.152610145089703,1,43.04387977025886
2010-06-12,Saturday,3,15138.886481287589,4.848357913426398,0,15.138886481287589
2010-06-13,Sunday,3,3027.7549438550577,0.31877857628462763,0,3.0277549438550575
2010-06-14,Monday,32,42511.717485785535,8.819385217730613,2,42.51171748578553
2010-06-15,Tuesday,17,39206.52756454543,6.048819663289117,0,39.20652756454543
2010-06-16,Wednesday,26,76122.72475047581,15.058057529154373,1,76.12272475047581
2010-06-17,Thursday,15,352310.1492049591,35.095095894219824,0,352.3101492049591
2010-06-18,Friday,6,35558.082105522335,11.295310873896062,0,35.55808210552234
2010-06-19,Saturday,3,25875.879502150863,2.110336352495613,0,25.875879502150863
2010-06-20,Sunday,9,210769.9124818774,33.12105019238921,0,210.7699124818774
2010-06-21,Monday,18,34091.99776079254,5.0965011772115,1,34.09199776079254
2010-06-22,Tuesday,17,116175.7999562499,25.48090887090179,0,116.1757999562499
2010-06-23,Wednesday,6,9586.394550916806,4.716661790067325,2,9.586394550916806
2010-06-24,Thursday,4,4541.632415782587,0.4468410277768718,1,4.541632415782587
2010-06-25,Friday,61,52680.27138797615,13.891822614363491,1,52.68027138797615
2010-06-26,Saturday,12,10597.142303492703,2.829273701552811,2,10.597142303492703
2010-06-27,Sunday,2,3027.7549438550577,1.2927737368879928,0,3.0277549438550575
2010-06-28,Monday,19,32480.016443081335,6.587346459605932,3,32.48001644308133
2010-06-29,Tuesday,29,50882.81207484037,33.50975304243769,2,50.882812074840366
2010-06-30,Wednesday,5,18120.840713748854,5.605700873872913,0,18.120840713748855
2010-07-01,Thursday,1,3977.436863112128,0.0800065525350822,0,3.977436863112128
2010-07-03,Saturday,1,14882.92393987055,0.9471693069021511,0,14.882923939870551
2010-07-04,Sunday,5,27439.131871552396,1.9303839812492316,1,27.439131871552394
2010-07-05,Monday,20,319236.6129441317,22.054782187055036,1,319.2366129441317
2010-07-06,Tuesday,16,38833.10959838645,13.625529937538994,2,38.83310959838645
