hour,weekday_name,distance_to_next_m,time_gap_hours
8,Wednesday,0.0,1.188611111111111
16,Friday,0.0,63.69361111111111
9,Monday,0.0,1.0788888888888888
8,Friday,0.0,1.13
9,Saturday,0.0,30.240555555555556
16,Monday,0.0,16.73027777777778
9,Tuesday,0.0,1.2794444444444444
11,Tuesday,0.0,1.9291666666666667
16,Tuesday,0.0,1.0497222222222222
18,Tuesday,0.0,40.903055555555554
10,Friday,0.0,2.339722222222222
13,Tuesday,0.0,1.3944444444444444
16,Wednesday,0.0,16.17972222222222
11,Friday,0.0,1.4822222222222223
13,Wednesday,0.0,1.2577777777777779
16,Wednesday,0.0,15.77138888888889
10,Friday,0.0,1.0030555555555556
15,Friday,0.0,1.0491666666666666
16,Friday,0.0,65.45166666666667
11,Wednesday,0.0,1.111388888888889
10,Monday,0.0,1.6266666666666667
13,Monday,0.0,1.5622222222222222
17,Thursday,0.0,21.48472222222222
14,Friday,0.0,20.977222222222224
11,Saturday,0.0,4.624444444444444
9,Thursday,0.0,1.1172222222222221
14,Tuesday,0.0,1.1291666666666667
16,Wednesday,0.0,15.362222222222222
12,Friday,0.0,1.6127777777777779
19,Saturday,0.0,16.77888888888889
13,Monday,0.0,1.343888888888889
16,Monday,0.0,16.15361111111111
13,Tuesday,0.0,1.3258333333333334
13,Wednesday,0.0,1.4252777777777779
19,Wednesday,0.0,11.872777777777777
15,Sunday,0.0,2.392777777777778
13,Wednesday,0.0,1.2572222222222222
12,Thursday,0.0,1.6758333333333333
9,Monday,0.0,1.1325
12,Monday,0.0,1.4694444444444446
13,Monday,0.0,1.1433333333333333
16,Monday,0.0,15.615555555555556
15,Thursday,0.0,1.1397222222222223
14,Tuesday,0.0,1.1358333333333333
10,Friday,0.0,1.0933333333333333
12,Saturday,0.0,1.843611111111111
10,Wednesday,0.0,1.376111111111111
13,Wednesday,0.0,1.1172222222222221
16,Wednesday,0.0,15.658333333333333
15,Thursday,0.0,16.718611111111112
9,Tuesday,0.0,1.1030555555555555
11,Tuesday,0.0,1.0538888888888889
19,Thursday,0.0,1.3841666666666668
10,Monday,0.0,1.2033333333333334
11,Tuesday,0.0,1.14
11,Wednesday,0.0,1.158611111111111
14,Wednesday,0.0,1.0166666666666666
16,Wednesday,0.0,15.494722222222222
15,Tuesday,0.0,1.2483333333333333
13,Wednesday,0.0,1.3913888888888888
14,Wednesday,0.0,1.5547222222222221
16,Wednesday,0.0,15.410833333333333
11,Thursday,0.0,1.2666666666666666
11,Saturday,0.0,43.37083333333333
8,Monday,0.0,1.0002777777777778
10,Monday,0.0,1.683888888888889
13,Wednesday,0.0,1.3316666666666668
11,Friday,0.0,1.5019444444444445
16,Saturday,0.0,38.48416666666667
9,Monday,0.0,1.075
10,Tuesday,0.0,1.0022222222222221
13,Wednesday,0.0,1.006388888888889
16,Thursday,0.0,16.031666666666666
18,Friday,0.0,60.75277777777778
12,Tuesday,0.0,1.551388888888889
9,Wednesday,0.0,1.3927777777777777
13,Wednesday,0.0,1.1216666666666666
16,Wednesday,0.0,16.374166666666667
15,Thursday,0.0,1.7894444444444444
9,Monday,0.0,1.113888888888889
10,Monday,0.0,2.156388888888889
11,Tuesday,0.0,1.0277777777777777
11,Wednesday,0.0,1.1616666666666666
12,Thursday,0.0,1.2294444444444443
14,Thursday,0.0,1.2041666666666666
10,Monday,0.0,1.2397222222222222
13,Monday,0.0,1.4452777777777779
16,Monday,0.0,15.954722222222221
16,Tuesday,0.0,15.585833333333333
12,Friday,0.0,2.0880555555555556
9,Monday,0.0,1.2136111111111112
10,Monday,0.0,1.001111111111111
16,Tuesday,0.0,16.25027777777778
9,Thursday,0.0,1.0333333333333334
13,Monday,0.0,1.0316666666666667
14,Monday,0.0,1.2202777777777778
15,Monday,0.0,16.57111111111111
13,Tuesday,0.0,18.375833333333333
9,Wednesday,0.0,1.2902777777777779
14,Wednesday,0.0,1.6030555555555555
10,Thursday,0.0,1.06
13,Thursday,0.0,1.5430555555555556
16,Thursday,0.0,16.868333333333332
11,Friday,0.0,1.5169444444444444
13,Friday,0.0,1.665
15,Friday,0.0,66.0525
16,Wednesday,0.0,15.510833333333334
10,Friday,0.0,2.064722222222222
13,Friday,0.0,1.4366666666666668
9,Saturday,0.0,34.839444444444446
12,Monday,0.0,1.6666666666666667
18,Tuesday,0.0,1.095
9,Wednesday,0.0,1.0455555555555556
13,Wednesday,0.0,1.1163888888888889
16,Wednesday,0.0,15.972222222222221
12,Thursday,0.0,1.1780555555555556
16,Thursday,0.0,15.666944444444445
9,Friday,0.0,1.1122222222222222
11,Friday,0.0,1.153888888888889
