date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2013-06-27,Thursday,1,9804.249282836101,0.6049827294391588,0,9.804249282836102
2013-06-28,Friday,2,24110.339773617918,1.2382176842227928,0,24.110339773617916
2013-07-01,Monday,4,765.1248264255192,0.011358179421428858,1,0.7651248264255193
2013-07-02,Tuesday,27,4984.263294197292,0.9345227166701576,2,4.984263294197293
2013-07-03,Wednesday,27,10898.08980415012,7.426865175588173,2,10.898089804150121
2013-07-04,Thursday,36,9946.62274353175,7.58167592780972,4,9.946622743531751
2013-07-05,Friday,47,21505.99120494462,2.113102998372283,0,21.50599120494462
2013-07-06,Saturday,4,43763.91656549733,19.286554352618037,1,43.76391656549733
2013-07-08,Monday,1,0.0,0.0,1,0.0
2013-07-10,Wednesday,4,6338.5390744997385,32.77727735067254,0,6.338539074499739
2013-07-12,Friday,2,20507.43890954283,0.6078764781015243,0,20.50743890954283
2013-07-16,Tuesday,1,20297.45769794967,0.406032616218994,0,20.29745769794967
2013-07-18,Thursday,9,41338.618815910595,13.365149145641775,1,41.33861881591059
2013-07-19,Friday,1,0.0,0.0,1,0.0
2013-07-20,Saturday,2,28807.75375837297,9.451078914652559,0,28.80775375837297
2013-07-22,Monday,48,4590.748958553116,1.1582356769187752,1,4.590748958553116
2013-07-23,Tuesday,54,12241.997222808308,4.709428919005707,1,12.241997222808308
2013-07-24,Wednesday,55,35578.49868387898,3.6371156002213216,0,35.578498683878976
2013-07-25,Thursday,56,10711.74756995727,3.90014013522024,1,10.71174756995727
2013-07-26,Friday,51,193718.01050280075,4.160578898252794,0,193.71801050280075
2013-07-29,Monday,45,5355.873784978635,0.6958627196494828,0,5.355873784978635
2013-07-30,Tuesday,39,15302.496528510384,7.711696586504793,0,15.302496528510385
2013-07-31,Wednesday,62,22953.744792765578,9.64567008698565,1,22.953744792765576
2013-08-01,Thursday,57,19893.2454870635,9.440675909408498,1,19.893245487063503
2013-08-02,Friday,64,44252.247520221725,9.508446112490704,0,44.25224752022172
2013-08-03,Saturday,1,0.0,0.0,1,0.0
2013-08-04,Sunday,1,19545.653455429136,1.5338278460936217,0,19.545653455429136
